vendor_name,category,city,price,rating,experience,description
Dream Photos,Photographer,Mumbai,80000,4.7,5,Affordable wedding photography
Royal Decor,Decorator,Mumbai,120000,4.5,7,Luxury wedding decoration
Food Fiesta,Catering,Bangalore,150000,4.8,10,South Indian catering
Elite Moments,Photographer,Delhi,95000,4.6,6,Premium candid photography
Happy Events,Decorator,Bangalore,90000,4.4,4,Budget-friendly decoration
Snap Studio,Photographer,Mumbai,70000,4.5,3,Creative photography for weddings
Tasty Treats,Catering,Mumbai,130000,4.9,8,Best catering for big events
Grand Decor,Decorator,Delhi,110000,4.3,5,Traditional wedding decor
Perfect Clicks,Photographer,Bangalore,85000,4.8,6,Luxury candid photography
Celebration Foods,Catering,Delhi,140000,4.7,7,Premium catering services
Golden Lights,Decorator,Mumbai,100000,4.6,5,Modern stage decoration
Magic Moments,Photographer,Bangalore,75000,4.4,4,Affordable candid photography
Royal Feast,Catering,Mumbai,160000,4.9,9,Wedding catering specialists
Event Kings,Decorator,Delhi,95000,4.5,6,Creative wedding decor
Lens Queen,Photographer,Delhi,88000,4.7,5,Professional wedding photography
